"","SPY192810","SPY192811","SPY192812","SPY192817","SPY192818","SPY192819","SPY192823","SPY192824","SPY192825","SPY192826","SPY192827","SPY192830","SPY192831","SPY192832","SPY192835","SPY192836","SPY192839","SPY192841","SPY192847","SPY192849","SPY192852","SPY192853","SPY193058","SPY193059","SPY193060","SPY193061","SPY193062","SPY193063","SPY193064","SPY193068"
"Alosa fallax",0,0,0,0,0,0,16669,105438,6112,334,0,22535,0,0,0,0,37289,0,0,10969,0,0,0,0,0,0,0,0,0,0
"Anguilla anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphanopus carbo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,497,0,649,0,0,0
"Aphia minuta",0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",535,14038,18760,15177,11843,2419,2534,1373,1393,5314,17405,24690,32754,5637,11647,30716,30584,17578,3534,13969,69543,22902,6541,24204,15553,92992,77766,6749,2850,36638
"Argyrosomus regius",645,0,0,0,0,13979,1174,3985,0,0,0,20,0,0,0,0,2739,0,10389,0,0,0,0,0,0,0,0,0,0,0
"Arnoglossus",0,552,216,0,15545,978,1177,3627,0,0,0,2106,0,0,0,0,0,449,271,2774,0,363,100,0,2515,0,921,452,1590,0
"Balistes capriscus",0,0,0,0,0,0,0,0,0,0,1020,20,0,0,0,0,4636,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belone",0,0,0,0,1788,0,0,382,12219,8670,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beryx splendens",0,208,1540,0,0,0,0,0,0,0,0,0,0,0,20254,0,10656,6677,0,0,0,0,44533,29153,11057,22996,21316,0,0,27892
"Boops boops",5322,0,0,0,0,17214,2874,14079,0,2478,6654,19847,0,0,0,0,3280,2685,14205,0,7188,3181,0,0,0,0,0,0,0,0
"Borostomias antarcticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0
"Buglossidium luteum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
"Callionymus lyra",26,1841,0,523,0,371,444,648,1673,47,0,414,748,0,15252,0,2200,22069,206,6447,382,392,1066,359,0,5145,0,562,3349,732
"Callionymus maculatus",0,717,57,0,0,0,0,0,0,0,0,0,0,0,4142,0,0,0,0,157,0,0,0,597,0,162,0,0,2062,0
"Capros aper",15455,32028,41035,65060,42104,305,7090,6283,2389,4199,26083,14369,62656,10270,49988,184239,5724,6216,4407,0,4907,0,146055,257815,181532,280018,117374,0,9791,150152
"Cepola",0,3679,0,0,0,5049,1525,874,25942,36310,0,0,0,0,0,44078,7231,2563,608,86729,23229,0,8204,4123,0,13311,22776,15705,4521,0
"Ceratoscopelus maderensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6128,0,0,0,0,0,0,1951
"Chelidonichthys",0,14081,10301,6767,5779,661,2472,3346,0,0,0,0,10401,4223,5509,724,1981,274,4540,1573,3241,0,1772,480,39366,3507,8517,0,2197,15185
"Chelon",69545,195,0,0,0,1585,31057,74391,10636,3664,16098,26749,0,17460,24362,0,86929,0,932,6750,11740,6083,0,0,0,0,0,0,909,0
"Chimaera monstrosa",0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,1613,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Coelorinchus",0,4040,1069,0,15725,0,0,0,0,0,0,0,0,0,0,0,8918,0,3096,0,0,0,42119,3810,18301,26101,253113,0,0,6638
"Conger conger",12130,25273,11441,8341,29974,881,1396,2121,10641,8376,4444,703,31388,0,11781,129405,15108,1903,2601,35843,4917,0,19542,26510,63319,10018,26436,1383,0,18508
"Crystallogobius linearis",0,4371,0,0,0,0,912,0,0,0,3745,1713,10258,0,18567,0,0,4593,0,0,0,0,0,0,0,0,0,13037,0,0
"Cyclothone microdon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
"Dasyatis tortonesei",0,0,0,0,0,0,0,0,0,0,0,4815,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dicentrarchus",940,2770,2406,9205,2211,0,16860,50867,32251,11809,2634,37102,15232,2639,6366,51,87678,1848,4052,138886,59449,5220,384,5357,24321,9904,34325,29902,33125,7861
"Dicologlossa cuneata",0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0
"Echiichthys vipera",0,0,0,0,0,0,382,0,0,0,0,373,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enchelyopus cimbrius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,2026,0,0,0,0,0,0,0,0,0
"Engraulis",0,16280,5773,19718,8620,1121,9055,9831,16822,8695,15870,14785,22423,7297,10245,55628,21233,14689,5114,50804,99620,2819,16469,35253,49173,43017,55327,509504,110939,6238
"Etmopterus",0,0,0,0,0,0,0,0,0,0,352,0,0,0,516,0,0,0,17,0,0,0,0,812,134,0,0,0,0,0
"Eutrigla gurnardus",4837,14149,56,0,8859,14489,1014,4270,6197,4455,5201,12273,2332,1577,569,20853,10684,6138,19749,1829,8391,4020,0,0,0,0,0,0,0,0
"Gadiculus",0,0,0,0,6876,1179,1230,0,0,0,0,0,0,0,142,0,401,481,364,0,0,0,0,0,162,0,509,0,0,0
"Galeus",0,323,507,1800,0,16,85,0,1992,0,0,0,0,0,0,0,0,1793,0,0,0,0,5838,6649,28073,20047,42447,0,0,3516
"Gymnammodytes",0,0,474,0,0,715,538,0,465,5206,0,33973,0,0,0,0,17509,0,0,3040,11724,0,0,0,0,0,0,0,0,0
"Helicolenus dactylopterus",4623,2254,3372,8745,5579,10146,925,5433,2637,1035,1353,3594,5904,0,33356,8727,5938,41434,5959,1162,9325,16548,19451,35815,33451,32107,27883,0,0,23792
"Lamna nasus",0,0,0,0,0,0,0,697,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lampanyctus",0,0,33,0,0,234,0,0,0,0,0,0,0,0,5196,0,0,3054,0,0,0,0,6106,0,3879,22709,237,0,0,8722
"Lepidorhombus",11718,26723,31621,80760,20121,7884,8516,6510,2870,0,2812,4390,36430,1018,17902,44836,7660,14498,8754,7129,0,4307,46455,0,34514,306,52805,0,1488,2486
"Lesueurigobius friesii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,0,0,0,0,0,0,0,0,0,0
"Leucoraja",0,972,1959,7868,3664,222,41,0,588,0,0,0,692,0,3655,0,0,1513,2123,0,0,0,886,8310,19616,10577,50435,0,0,14321
"Lophius",36508,16955,46973,70106,72186,94484,10924,4301,52657,10696,16642,17662,7975,5029,13798,418749,49580,32772,67983,92265,41658,164576,42989,13342,40494,89854,59285,1848,3556,11605
"Macroramphosus scolopax",0,0,0,0,0,0,0,0,0,0,0,1906,0,0,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0
"Malacocephalus laevis",0,686,0,0,2051,0,0,0,2249,0,0,0,0,0,6345,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"Maurolicus",10,714,0,171,0,0,0,0,0,0,0,1415,0,151,8999,1109,0,2871,62,287,254,584,756,1338,648,951,1545,0,88,1457
"Melanostigma atlanticum",0,0,0,0,0,109,37,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Merluccius",28925,36524,4124,16019,67360,10186,14679,36615,22764,3064,39510,11534,25236,29541,37785,91227,10885,11493,13477,165050,62704,10,1636,18895,22309,98437,5114,424,1551,4009
"Micromesistius poutassou",1108,398,2484,170,4226,717,0,2489,3228,354,666,5950,6320,0,13077,31238,0,1320,0,1200,6436,0,5320,12440,151,8424,337,0,195,16926
"Microstomus kitt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3863,0
"Mola mola",0,36,0,0,12636,190,520,2637,0,0,0,0,0,0,0,10290,0,0,3660,0,0,0,0,0,0,0,0,0,0,0
"Molva",0,0,0,0,15426,0,0,0,0,0,0,0,0,0,0,1126,66,694,0,0,0,0,0,78,0,0,0,0,0,0
"Mullus surmuletus",15756,100,0,0,194,76725,4311,16796,5747,1495,930,6758,0,2637,0,0,2625,0,30197,1034,2707,19471,0,0,278,0,0,0,0,1572
"Mustelus asterias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,0,0,528,0,1475,666,0
"Myctophum punctatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47421,1534,0,6033,0,0,0,21914
"Myliobatis aquila",0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
"Notoscopelus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2458,0,0,116,0,0,0,0,16949,0,1427,0,0,0,0,10024
"Pagellus acarne",14207,0,0,0,0,32694,125,0,29301,87,3603,0,0,2324,0,0,5664,0,41832,1045,0,6490,0,0,0,0,0,0,0,0
"Pagellus bogaraveo",0,17384,738,3148,7746,202,5429,1207,327,0,5010,17247,0,7632,12808,0,3902,18557,0,0,0,0,7209,0,7530,1345,35619,1200,2304,25100
"Pagellus erythrinus",0,0,0,0,0,323,0,0,0,0,0,0,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parablennius pilicornis",0,0,0,0,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pegusa lascaris",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1685,0,0,0,0,0,0,0,0,0,0,0
"Polymetme thaeocoryla",0,0,64,25,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2988,0,0,0,0
"Pomatoschistus",0,606,147,11492,0,0,1908,5226,357,1877,0,0,8558,0,0,0,10503,0,0,3835,25444,0,0,71,7850,0,0,101,825,0
"Prionace glauca",0,1501,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raja",0,275,360,0,687,152,0,0,79,0,8158,0,74,0,358,0,3045,643,94,648,0,0,765,2627,1392,357,0,0,7984,176
"Rhynchoconger flavus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758,0,0
"Sarda sarda",14081,292,0,0,0,0,433,1749,0,264,0,0,0,3368,0,0,420,0,0,4704,0,1932,0,0,0,0,8396,0,0,0
"Sardina pilchardus",61135,316,0,0,1154,18793,161324,258686,176949,104530,244212,139649,2144,208205,10054,0,81657,575,34752,157306,165710,116134,22,0,0,205,72238,11875,19459,858
"Sarpa salpa",0,0,0,0,0,0,0,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scomber colias",3066,42,0,31,371,2832,22046,11000,1877,46,83,24461,0,0,0,0,15300,10,4363,2000,221,2022,644,281,67,261,207,86,137,11
"Scomber scombrus",0,3663,1566,3174,0,439,79531,99597,25731,14024,8270,47939,431,883,1313,0,71030,1206,828,24772,12018,29970,0,30873,14669,21909,28103,15113,21015,2365
"Scomberesox saurus",30811,639,0,0,33732,2037,436,2666,269,0,4304,4224,8433,0,127080,32210,4022,348712,93,0,0,20,0,0,0,0,28107,203,0,0
"Scophthalmus maximus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0
"Scophthalmus rhombus",0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scorpaena scrofa",8379,0,0,0,0,1587,0,0,0,337,4560,0,0,0,737,0,724,691,2381,0,0,2005,0,0,0,0,0,0,0,0
"Scyliorhinus",0,2451,179,29,0,268,502,709,0,0,0,226,301,0,0,178,2325,391,59,2664,0,2214,17128,2667,533,1954,8345,462,0,9735
"Searsia koefoedi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,0,0,0
"Serranus cabrilla",0,0,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solea",1637,428,1368,361,445,0,3033,9297,7423,1853,1287,299,0,11754,0,0,7569,0,0,19255,9175,0,0,0,0,4091,0,0,0,62
"Spondyliosoma cantharus",25327,604,0,0,0,261902,15462,40045,7729,9797,34719,13635,0,4033,0,0,24966,0,236636,0,2161,20821,0,0,0,0,0,0,208,0
"Sprattus sprattus",125,0,391,0,0,0,740,718,15916,5335,8935,3866,0,12437,0,0,1891,6288,349,0,0,0,0,176,0,15878,0,2675,510,0
"Squalus acanthias",0,0,0,0,0,0,63,0,0,0,0,0,0,1409,0,0,176,0,0,0,0,0,0,0,0,0,0,0,10,194
"Thunnus",0,118,0,0,0,0,0,0,0,0,0,406,0,1485,0,0,0,0,0,77,0,0,683,0,0,0,0,0,0,0
"Torpedo marmorata",0,0,0,0,0,1171,0,0,307,1644,0,0,0,1579,0,0,0,0,1911,0,0,0,0,0,0,0,0,0,0,0
"Trachinus draco",404,61,0,0,0,23243,549,5140,131,0,1195,218,0,0,0,0,210,0,16636,2266,2635,12751,0,0,0,325,0,0,0,0
"Trachurus",59067,177603,60653,93236,123538,85197,98478,169519,50544,12530,101343,120757,100619,97006,223005,100894,130112,188658,150395,70114,37024,46429,16395,55043,94717,153067,343354,73077,79860,19233
"Trigla lyra",0,1379,0,0,12254,15994,0,0,0,603,0,550,2724,0,9061,2182,0,0,129,0,0,0,0,0,0,0,0,0,0,0
"Trisopterus",285,781,272,957,5922,11043,101907,8761,11088,249,6419,1308,2192,586,0,34076,8811,1594,11615,390,1746,0,2301,1182,4750,8490,122,678,12574,13
"Umbrina",26293,0,0,0,0,85028,220,1507,1027,0,0,43117,0,0,0,0,1516,0,52215,0,0,7452,0,0,0,0,0,0,0,0
"Xenodermichthys",0,0,6637,39899,0,0,0,0,0,0,0,11710,0,0,0,0,9149,6491,0,222,0,0,65897,1951,6255,16997,0,0,0,29702
"Zeus faber",0,632,2516,735,239,0,2609,3756,166,0,74,0,320,0,57,0,6725,659,0,0,53,0,25155,1748,12270,7990,1878,2226,2128,4965
