"","Max_length","Average.Depth","Depth.Range","Trophic_Level","Env_2","Body_shape","mode","fert","care"
"Alosa fallax",60,205,390,4,"pelagic","fusiform","D","E","N"
"Ammodytes marinus",25,80,140,3.3,"demersal","elongated","D","E","N"
"Aphanopus carbo",151,1250,2100,4.5,"bathypelagic","eel-like","D","E","N"
"Aphia minuta",7.9,48.5,97,3.1,"pelagic","elongated","D","E",NA
"Argyrosomus regius",230,157.5,285,4.3,"demersal","fusiform","D","E",NA
"Atherina presbyter",20,10,20,3.7,"pelagic","elongated","D","E","N"
"Balistes capriscus",60,50,100,4.1,"reef-associated","short/deep","D","E","Y"
"Beryx splendens",70,662.5,1275,4.3,"demersal","fusiform","D","E",NA
"Boops boops",40,175,350,2.8,"demersal","fusiform","G","E","N"
"Borostomias antarcticus",30,1465,2330,3.6,"bathydemersal","elongated","D","E",NA
"Buglossidium luteum",16.4,227.5,445,3.3,"demersal","flat","D","E","N"
"Callionymus lyra",30.5,217.5,425,3.3,"demersal","elongated","D","E","N"
"Callionymus maculatus",16.5,347.5,605,3.3,"demersal","elongated","D","E","N"
"Capros aper",30,370,660,3.1,"demersal","short/deep","D","E","N"
"Ceratoscopelus maderensis",8.1,765.5,1429,3.3,"bathypelagic","elongated","D","E",NA
"Chimaera monstrosa",150,720,1360,3.5,"bathydemersal","elongated","D","I","N"
"Conger conger",300,585.5,1171,4.3,"demersal","eel-like","D","E",NA
"Crystallogobius linearis",4.7,200.5,399,3.4,"demersal","elongated","D","E","Y"
"Cyclothone microdon",7.6,2750.5,5101,3,"bathypelagic","elongated","A",NA,NA
"Dasyatis pastinaca",69.5,102.5,195,4.1,"demersal","ray-like","D","I","Y"
"Dasyatis tortonesei",80,150,100,4,"demersal","ray-like","D","I",NA
"Dicentrarchus labrax",103,55,90,3.5,"demersal","fusiform","D","E","N"
"Dicentrarchus punctatus",70,55,90,3.9,"pelagic","fusiform","D","E","N"
"Dicologlossa cuneata",30,235,450,3.3,"demersal","short/deep","D","E","N"
"Echiichthys vipera",15,75,150,4.4,"demersal","elongated","D","E","N"
"Enchelyopus cimbrius",41,335,630,3.5,"demersal","elongated","D","E","N"
"Eutrigla gurnardus",60,175,330,3.9,"demersal","elongated","D","E","N"
"Gaidropsarus macrophthalmus",25,340,380,3.5,"demersal","elongated","D","E","N"
"Helicolenus dactylopterus",50,575,1050,3.5,"bathydemersal","fusiform","D","I","N"
"Hexanchus griseus",482,1250.5,2499,4.5,"bathydemersal","elongated","D","I","Y"
"Hippocampus hippocampus",15,15,30,3.2,"demersal","other","D","B","Y"
"Lamna nasus",350,680,1360,4.6,"pelagic","fusiform","D","I",NA
"Lepidotrigla dieuzeidei",20,328,536,3.7,"demersal","fusiform","D","E","N"
"Lesueurigobius friesii",13,70,120,3.4,"demersal","fusiform","D","E",NA
"Lithognathus mormyrus",55,75,150,3.4,"demersal","fusiform","A","E","N"
"Macroramphosus scolopax",20,312.5,575,3.5,"demersal","short/deep","D","E","N"
"Malacocephalus laevis",60,600,800,3.8,"bathydemersal","elongated",NA,NA,NA
"Melanostigma atlanticum",15,1126.5,1453,3,"bathypelagic","elongated","D","E","N"
"Merlangius merlangus",91.5,105,190,4.4,"demersal","fusiform","D","E","N"
"Microchirus variegatus",35,210,380,3.3,"demersal","flat","D","E","N"
"Micromesistius poutassou",55.5,1575,2850,4.1,"bathypelagic","elongated","D","E","N"
"Microstomus kitt",65,105,190,3.2,"demersal","short/deep","D","E","N"
"Mola mola",333,255,450,3.3,"pelagic","short/deep","D","E","N"
"Mora moro",80,1475,2050,3.8,"bathypelagic","fusiform","D","E","N"
"Mullus surmuletus",40,207,404,3.5,"demersal","fusiform","D","E",NA
"Mustelus asterias",140,175,350,3.6,"demersal","elongated","D","I",NA
"Myctophum punctatum",11,500,1000,3.4,"bathypelagic","fusiform","D","E",NA
"Myliobatis aquila",183,150.5,299,3.6,"demersal","ray-like","D","I",NA
"Nezumia aequalis",36,1260,2120,3.3,"demersal","elongated","D","E","N"
"Pagellus acarne",36,270,460,3.8,"demersal","fusiform","A","E","N"
"Pagellus bogaraveo",70,425,550,4.2,"demersal","fusiform","A","E","N"
"Pagellus erythrinus",60,160,280,3.5,"demersal","fusiform","G","E","N"
"Parablennius pilicornis",12.7,12.5,25,3.2,"demersal","fusiform","D","E",NA
"Pegusa lascaris",40,177.5,345,3.3,"demersal","short/deep","D","E","N"
"Phycis blennoides",110,605,1190,3.7,"demersal","fusiform","D","E","N"
"Polymetme thaeocoryla",21.6,806,1187,3.6,"demersal","fusiform",NA,NA,NA
"Prionace glauca",400,500.5,999,4.4,"pelagic","fusiform","D","I",NA
"Rhynchoconger flavus",150,104.5,157,4.2,"demersal","eel-like","D","E",NA
"Sarda sarda",91.4,140,120,4.5,"pelagic","fusiform","D","E","N"
"Sardina pilchardus",27.5,55,90,3.1,"pelagic","fusiform","D","E","N"
"Sarpa salpa",51,37.5,65,2,"demersal","fusiform","A","E","N"
"Scomber colias",55,500,1000,3.9,"pelagic","fusiform","D","E","N"
"Scomber scombrus",60,500,1000,3.6,"pelagic","fusiform","D","E","N"
"Scomberesox saurus",50,15,30,3.9,"pelagic","elongated","D","E",NA
"Scophthalmus maximus",100,45,50,4.4,"demersal","short/deep","D","E",NA
"Scophthalmus rhombus",75,27.5,45,4.4,"demersal","short/deep","D","E","N"
"Scorpaena scrofa",50,260,480,4.3,"demersal","fusiform","D","E","N"
"Searsia koefoedi",15,975,1050,3.4,"bathypelagic","elongated",NA,NA,NA
"Serranus cabrilla",40,252.5,495,3.4,"demersal","fusiform","H","E",NA
"Spondyliosoma cantharus",60,152.5,295,3.3,"demersal","fusiform","G","E",NA
"Sprattus sprattus",16,80,140,3,"pelagic","fusiform","D","E","N"
"Squalus acanthias",160,730,1460,4.4,"demersal","elongated","D","I","Y"
"Syngnathus acus",50,55,110,3.3,"demersal","eel-like","D","B","Y"
"Torpedo marmorata",100,186,368,4.5,"reef-associated","ray-like","D","I",NA
"Trachinus draco",53,75.5,149,4.2,"demersal","elongated","D","E","N"
"Trigla lyra",60,425,550,3.7,"bathydemersal","fusiform","D","E","N"
"Zeus faber",90,202.5,395,4.5,"demersal","short/deep","D","E","N"
"Anguilla anguilla",122,350,700,3.6,"demersal","eel-like","D","E","N"
"Argentina silus",70,790,1300,3.3,"bathypelagic","elongated","D","E","N"
"Argentina sphyraena",35,375,650,3.5,"bathydemersal","elongated","D","E","N"
"Arnoglossus imperialis",25,185,330,3.8,"demersal","flat","D","E","N"
"Arnoglossus laterna",25,105,190,3.6,"demersal","flat","D","E","N"
"Arnoglossus rueppelii",15,491,812,4,"demersal","flat","D","E","N"
"Arnoglossus thori",18,157.5,285,3.3,"demersal","flat","D","E","N"
"Belone belone",104,10,20,4.2,"pelagic","elongated","D","E","N"
"Belone svetovidovi",41.8,10,20,4,"pelagic","elongated","D","E","N"
"Cepola macrophthalma",80,207.5,385,3.1,"demersal","elongated","D","E","N"
"Chelidonichthys cuculus",70,207.5,385,3.8,"demersal","fusiform","D","E","N"
"Chelidonichthys lastoviza",40,80,140,3.5,"demersal","fusiform","D","E","N"
"Chelidonichthys lucerna",75.1,169,298,4,"demersal","elongated","D","E","N"
"Chelidonichthys obscurus",50.5,95,150,3.7,"demersal","fusiform","D","E","N"
"Chelon labrosus",75,7.5,15,2.6,"demersal","elongated","D","E","N"
"Chelon ramada",70,15,10,2.3,"pelagic","fusiform","D","E","N"
"Chelon auratus",59,15,10,2.8,"pelagic","fusiform","D","E","N"
"Coelorinchus caelorhincus",48,787.5,1395,3.5,"demersal","elongated",NA,NA,NA
"Coelorinchus caudani",36,1090,640,3.5,"bathydemersal","elongated",NA,NA,NA
"Coelorinchus labiatus",50,1340,1760,4,"bathydemersal","elongated",NA,NA,NA
"Engraulis encrasicolus",20,200,400,3.1,"pelagic","elongated","D","E","N"
"Etmopterus princeps",94,1256.5,1913,4.2,"bathydemersal","elongated","D","I",NA
"Etmopterus pusillus",50,560,1120,4.2,"bathydemersal","elongated","D","I","Y"
"Etmopterus spinax",60,1280,2420,4.1,"bathydemersal","elongated","D","I","Y"
"Gadiculus argenteus",15.3,550,900,3.6,"pelagic","fusiform","D","E","N"
"Gadiculus thori",15,550,900,3.5,"pelagic","fusiform","D","E","N"
"Galeus atlanticus",45,540,200,4,"bathydemersal","elongated","D","I",NA
"Galeus melastomus",75,964,1818,4.2,"demersal","elongated","D","I","N"
"Galeus murinus",63,837.5,725,4,"bathydemersal","elongated","D","I",NA
"Gymnammodytes cicerelus",17,60,120,3.4,"demersal","eel-like","D","E","N"
"Gymnammodytes semisquamatus",30,65,110,2.7,"demersal","elongated","D","E",NA
"Lampanyctus crocodilus",30,600,1200,3.2,"bathypelagic","elongated","D","E","N"
"Lampanyctus festivus",13.8,546,1012,3.2,"bathypelagic","elongated",NA,NA,NA
"Lampanyctus intricarius",20,395,710,3.4,"bathypelagic","elongated",NA,NA,NA
"Lampanyctus macdonaldi",16,762,1404,3.1,"bathypelagic","elongated",NA,NA,NA
"Lampanyctus photonotus",8.5,570,1060,3.2,"bathypelagic","elongated",NA,NA,NA
"Lampanyctus pusillus",4.3,445,810,3.4,"bathypelagic","elongated",NA,NA,NA
"Lepidorhombus boscii",40,403.5,793,3.7,"demersal","flat","D","E","N"
"Lepidorhombus whiffiagonis",60,400,600,4.3,"bathydemersal","flat","D","E","N"
"Leucoraja circularis",120,405,790,3.5,"demersal","ray-like","D","I","N"
"Leucoraja fullonica",120,315,570,3.5,"bathydemersal","ray-like","D","I","N"
"Leucoraja naevus",81,456,888,4.2,"demersal","ray-like","D","I","N"
"Lophius budegassa",100,541.5,943,4.4,"bathydemersal","short/deep","D","E","N"
"Lophius piscatorius",200,510,980,4.5,"bathydemersal","short/deep","D","E","N"
"Maurolicus amethystinopunctatus",5,765,670,3.1,"pelagic","fusiform",NA,NA,NA
"Maurolicus muelleri",8,897.5,1253,3,"bathypelagic","elongated","D",NA,NA
"Merluccius merluccius",140,552.5,1045,4.4,"demersal","elongated","D","E","N"
"Merluccius senegalensis",81,407.5,785,4.5,"demersal","elongated","D","E","N"
"Molva dypterygia",155,575,850,4.5,"demersal","elongated","D","E","N"
"Molva macrophthalma",108,515,970,4.5,"demersal","elongated","D","E","N"
"Molva molva",200,550,900,4.4,"demersal","elongated","D","E","N"
"Notoscopelus bolini",10.2,650,1300,3.1,"pelagic","fusiform",NA,NA,NA
"Notoscopelus caudispinosus",14,180,360,3.2,"bathypelagic","fusiform",NA,NA,NA
"Notoscopelus kroeyeri",14.3,500,1000,3.2,"pelagic","fusiform",NA,NA,NA
"Pomatoschistus lozanoi",8,75,10,3.1,"demersal","fusiform","D","E",NA
"Pomatoschistus marmoratus",8,45,50,3.4,"demersal","fusiform","D","E",NA
"Pomatoschistus microps",9,6,12,3.3,"demersal","elongated","D","E",NA
"Pomatoschistus minutus",11,102,196,3.2,"demersal","elongated","D","E","Y"
"Pomatoschistus norvegicus",8,171.5,307,3.3,"demersal","fusiform","D","E",NA
"Pomatoschistus pictus",6,28,54,3.1,"demersal","fusiform","D","E",NA
"Raja asterias",75,172.5,341,3.8,"demersal","ray-like","D","I","N"
"Raja brachyura",120,195,370,3.8,"demersal","ray-like","D","I","N"
"Raja clavata",105,512.5,1015,3.8,"demersal","ray-like","D","I","N"
"Raja microocellata",87,60,80,3.9,"demersal","ray-like","D","I","N"
"Raja miraletus",63,239.5,445,3.7,"demersal","other","D","I","N"
"Raja montagui",83.5,269,522,3.9,"demersal","ray-like","D","I","N"
"Raja undulata",100,125,150,3.5,"demersal","ray-like","D","I","N"
"Scyliorhinus canicula",100,395,770,3.8,"demersal","elongated","D","I","N"
"Scyliorhinus stellaris",170,200.5,399,4,"reef-associated","elongated","D","I","N"
"Solea senegalensis",60,38.5,53,3.3,"demersal","short/deep","D","E","N"
"Solea solea",70,75,150,3.2,"demersal","flat","D","E","N"
"Thunnus alalunga",140,300,600,4.3,"pelagic","fusiform","D","E","N"
"Thunnus albacares",239,125.5,249,4.4,"pelagic","fusiform","D","E","N"
"Thunnus obesus",250,750,1500,4.5,"pelagic","fusiform","D","E","N"
"Thunnus thynnus",458,492.5,985,4.5,"pelagic","fusiform","D","E","N"
"Trachurus mediterraneus",60,250,500,3.8,"pelagic","fusiform","D","E","N"
"Trachurus picturatus",60,337.5,65,3.3,"demersal","fusiform","D","E","N"
"Trachurus trachurus",70,525,1050,3.7,"pelagic","fusiform","D","E","N"
"Trisopterus esmarkii",35,175,250,3.2,"demersal","fusiform","D","E","N"
"Trisopterus luscus",46,65,70,3.7,"demersal","fusiform","D","E","N"
"Trisopterus minutus",40,220.5,439,3.7,"demersal","fusiform","D","E","N"
"Umbrina cirrosa",73,50,100,3.4,"demersal","fusiform","D","E","N"
"Umbrina ronchus",100,110,180,3.4,"demersal","fusiform","D","E","N"
"Xenodermichthys copei",31,1375,2550,3.2,"bathypelagic","elongated","D","E",NA
"Dipturus intermedius",230,750.5,1499,4.1,"demersal","ray-like","D","I","N"
"Trachyscorpia cristulata",50,615,970,4.2,"demersal","fusiform","D","E","N"
