"","X0442","X0448","X0450","X0454","X0457","X0465","X0471","X0477","X0481","X0482","X0487","X0491","X0492","X0495","X0496"
"Alosa fallax",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ammodytes marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Argentina",46,316,514,72,9,49,136,240,0,0,0,2,38,0,0
"Argyrosomus regius",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Arnoglossus",0,15,23,17,0,28,15,39,9,5,3,7,13,0,2
"Atherina presbyter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"Balistes capriscus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Boops boops",0,0,0,0,0,0,0,0,260,913,0,0,0,0,0
"Buglossidium luteum",0,0,0,0,0,0,0,0,0,4,21,3,0,3,7
"Callionymus lyra",1,0,1,0,0,4,1,0,0,0,2,48,7,6,7
"Callionymus maculatus",0,2,5,3,0,0,1,0,0,0,0,0,3,0,0
"Capros aper",6,502,2230,86,0,50,56,17,0,0,0,0,1,0,0
"Cepola",0,0,0,0,0,1,7,0,0,0,0,0,32,0,0
"Chelidonichthys",17,20,40,22,0,0,36,0,1,1,11,0,4,0,0
"Chimaera monstrosa",0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"Coelorinchus",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"Conger conger",1,1,1,4,1,0,1,0,0,0,3,0,9,0,8
"Dasyatis pastinaca",0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"Dasyatis tortonesei",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Dicentrarchus",0,0,0,0,0,0,0,0,0,0,0,13,1,2,4
"Dicologlossa cuneata",0,0,0,0,0,0,0,0,0,23,111,2,0,0,0
"Echiichthys vipera",0,0,0,0,0,0,0,0,0,0,0,1,0,24,0
"Enchelyopus cimbrius",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Engraulis",0,0,0,0,0,80,0,0,0,0,41,16,1189,461,0
"Etmopterus",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Eutrigla gurnardus",0,0,1,0,0,174,2,4,0,0,2,2,11,3,0
"Gaidropsarus macrophthalmus",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
"Galeus",0,0,0,0,197,0,0,0,0,0,0,0,0,0,0
"Helicolenus dactylopterus",1,2,0,0,4,0,0,0,0,0,0,0,0,0,0
"Hexanchus griseus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hippocampus hippocampus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lepidorhombus",15,18,44,14,2,1,10,8,0,0,0,0,3,2,0
"Lepidotrigla dieuzeidei",0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
"Lesueurigobius friesii",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Leucoraja",14,114,10,12,2,1,0,0,0,0,0,1,0,0,0
"Lithognathus mormyrus",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Lophius",1000,4,4,1,2,1,2,2,0,0,0,0,1,0,0
"Malacocephalus laevis",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Maurolicus",0,0,0,0,0,0,2,0,0,0,0,0,19,0,0
"Merlangius merlangus",0,0,0,0,0,0,0,0,0,0,2,4,0,0,108
"Merluccius",52,173,464,343,6,1117,355,74,0,0,191,42,1417,15,3
"Microchirus variegatus",0,0,0,3,0,3,9,0,0,0,0,40,22,0,0
"Micromesistius poutassou",107,2622,58,0,17,0,2,0,0,0,0,0,0,0,0
"Molva",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Mora moro",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mullus surmuletus",0,1,0,0,0,0,0,0,1,75,0,0,0,0,0
"Myliobatis aquila",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Nezumia aequalis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pagellus acarne",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Pagellus erythrinus",0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
"Phycis blennoides",3,1,2,0,18,0,0,0,0,0,0,0,32,0,0
"Polymetme thaeocoryla",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Pomatoschistus",0,0,0,0,0,1,0,0,0,0,98,0,1,0,118
"Raja",0,0,0,6,0,0,2,0,0,1,0,0,0,3,0
"Sarda sarda",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Sardina pilchardus",0,0,0,0,0,0,0,0,370,2,0,787,0,32400,12
"Scomber colias",0,0,0,0,0,0,1,0,6,2,0,5,0,56,0
"Scomber scombrus",1,16,216,3,0,32,0,0,0,0,1,499,23,775,1
"Scophthalmus rhombus",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Scyliorhinus",4,688,17,54,0,49,36,30,4,0,0,17,35,69,0
"Solea",0,0,0,0,0,1,0,0,0,4,21,0,2,3,14
"Spondyliosoma cantharus",0,0,0,0,0,0,0,0,26,684,0,1,0,0,0
"Sprattus sprattus",0,0,0,0,0,0,0,0,0,0,29,0,0,6,1124
"Syngnathus acus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Trachinus draco",0,0,0,0,0,0,0,0,209,52,0,126,0,1,0
"Trachurus",0,49,25,116634,0,3067,554,48471,1206,3705,64,9531,1179,3184,2830
"Trigla lyra",0,0,0,0,0,0,2,6,0,0,0,0,0,0,0
"Trisopterus",540,7,0,220,0,484,406,0,0,0,630,78,84,0,564
"Umbrina",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Zeus faber",0,22,1,0,0,2,0,0,0,0,0,2,4,0,2
